ID,RHOB,GR,DEPTH_MD,NPHI,PEF,DTC
1,1.884185791,80.20085144,494.528,,20.915468216,161.13117981
2,1.8897935152,79.262886047,494.68,,19.383012772,160.60346985
3,1.8965227604,74.821998596,494.832,,22.591518402,160.1736145
4,1.891912818,72.878921509,494.984,,32.19190979,160.14942932
5,1.8800340891,71.729141235,495.136,,38.495632172,160.12834167
6,1.8796874285,72.01441955600000,495.288,,43.657482147000000,160.14929199
7,1.8787307739,72.588088989,495.44,,42.236221313,161.25038147
8,1.8678369522,71.283050537,495.592,,39.933563232,162.2144165
9,1.8472329378,69.721435547,495.744,,39.163223267,161.57510376
10,1.836309433,66.677726746,495.896,,37.802932739,160.58335876
11,1.8451297283,65.892799377,496.048,,36.285533905,159.62438965
12,1.8601442575,66.928260803,496.2,,37.292488098,158.85522461
13,1.8645105362,70.428024292,496.352,,37.34254837,159.0859375
14,1.8604578972,72.568740845,496.504,,38.716503143000000,159.11553955
15,1.858977437,71.932228088,496.656,,33.712387085,159.13540649
16,1.8633086681,71.095474243,496.80800000000000,,30.341299057000000,159.44454956
17,1.879073143,74.254371643,496.96,,29.63158989,159.09140015
18,1.8897819519,77.266525269,497.112,,34.332809448,159.35050964
19,1.8950212002,77.243659973,497.264,,44.43385696400000,159.91371155
20,1.8818663359,74.072761536,497.416,,58.937194824000000,160.68223572
21,1.8718523979,72.198684692,497.568,,54.921722412,161.35916138
22,1.8767393827,73.68801116900000,497.72,,47.026332855,161.16438293
23,1.8875800371,72.747123718,497.872,,36.532077789,160.58572388
24,1.9042459726,70.038673401,498.024,,30.112548828,160.08589172
25,1.9239485264,69.458602905,498.176,,36.195671082,159.83093262
26,1.9202179909,70.175437927,498.328,,56.303665161000000,160.04148865
27,1.890530467,69.169387817,498.48,,66.030319214,160.02119446
28,1.8665241003,66.941886902,498.632,,49.00489807100000,159.78358459
29,1.863617301,68.770942688,498.784,,38.920906067,159.63774109
30,1.8740327358,71.864768982,498.936,,35.378421783,159.51885986
31,1.8631432056,74.23991394,499.088,,29.563484192000000,159.71707153
32,1.8512102365,73.419425964,499.24,,26.189195633,159.78979492
33,1.8566273451,74.15774536100000,499.392,,30.852775574000000,160.27708435
34,1.8640419245,74.61391449,499.544,,36.393230438,160.46502686
35,1.8697222471,74.092033386,499.696,,44.721645355,160.50489807
36,1.8720923662,73.944297791,499.848,,43.747562408,160.49928284
37,1.8679596186,75.05583190900000,500.0,,37.737670898000000,160.48558044
38,1.8572515249,76.508979797,500.152,,31.725177765,160.36244202
39,1.845531106,73.464164734,500.304,,26.771625519,159.83699036
40,1.8473213911,68.757133484,500.456,,29.252349854000000,159.25857544
41,1.8530236483,66.214767456,500.608,,31.11192894,159.04550171
42,1.883259058,67.519630432,500.76,,25.780155182000000,159.09196472
43,1.9485155344,67.74028015100000,500.912,,17.592674255,159.31990051
44,2.0333251953,66.249382019,501.064,,17.641107559,159.49562073
45,2.1492137909,65.563743591,501.216,,16.600845337,159.68937683
