Id,Category,Title,newyorker_summary,Lat,Lon,Address,GoogleCategoryName,Cid,ImageUrl,PlaceId,PostalCode,ReviewImageUrls/0,Street,TotalScore
4733,bookstore,The Comic Shop,uncharted,40.5640084,-74.1129388,"255 Mill Rd #5T, Staten Island, NY 10306",Comic book store,9978851831215282610,,ChIJk6D_8-JJwokRstnXyd4AfIo,10306.0,,255 Mill Rd #5T,
4734,bookstore,JHU Comic Books (Formerly of Jim Hanley's Universe),"Once a cherished haunt, this comic store has pivoted to a controversial showcase of politically charged books, alienating longtime patrons and casting a pall over its former whimsy.",40.5721,-74.112298,"299 New Dorp Ln, Staten Island, NY 10306",Comic book store,13982129454322694216,https://lh5.googleusercontent.com/p/AF1QipOSxZMF0QqAuY9L_68kYOQqBceMEryUQnvEAsQt=w408-h306-k-no,ChIJIZhidlJJwokRSDhugKiACsI,10306.0,https://lh3.googleusercontent.com/geougc-cs/AIHozJJgibdk6UZT3H787SX7jSK1kW_g0HuK8y0hoxzgRM17WZLj4whVGsi7dgAPwhUq2uPTnsdsg3Cl_DOG3gPWQWzUi7Kpr340aig3xXHhPAsg2ssjTP1K77d6hd9q3JHRpKCi5sl6,299 New Dorp Ln,4.7
4735,bookstore,Newbury Comics,"Navigating this emporium is akin to stumbling upon a kitschy time capsule—the comic selection sparse, the toys overpriced, yet the vinyl may just entice the nostalgic or the spendthrift to linger.",40.5818414,-74.1668656,"2655 Richmond Ave Space 2300, Staten Island, NY 10314",Comic book store,6945737316648834371,https://lh5.googleusercontent.com/p/AF1QipNpRJ-z2qyTnJGBXc8Sir2QMWr5Ey4STKKctkRX=w408-h544-k-no,ChIJaZ0RbHNLwokRQ1UHFko3ZGA,10314.0,,2655 Richmond Ave Space 2300,3.4
4736,bookstore,Repeat Boutique,"""Repeat Boutique,"" not merely a shop but a treasure trove of eclectic finds from baby toys to rare vintage apparel. Prices that please, a staff that dazzles, and a community pillar too. Worth the expedition, repeatedly.",40.5972967,-74.1825271,"3801 Victory Blvd, Staten Island, NY 10314",Thrift store,9099346544346450394,https://lh5.googleusercontent.com/p/AF1QipPy8qSt7iqKA_fq0XOWwmfWExUpagmBuYBYV2IK=w408-h544-k-no,ChIJq6rqKZBMwokR2snyv3hfR34,10314.0,,3801 Victory Blvd,4.9
4737,bookstore,ST PAULS Books and Gifts (NY),"Succumb to the tranquil charm of Staten Island's Alba House, where the devout peruse a rich mosaic of Catholic essentials, from bibles to rosaries, amidst a haven of prayer and piety. A staff of angels tends to your",40.6126056,-74.1365059,"2187 Victory Blvd, Staten Island, NY 10314",Religious book store,14887283868677933266,https://lh5.googleusercontent.com/p/AF1QipMoTrOOvZBpcmgdol1rZukmDj05zPWdF1b0pwSh=w408-h306-k-no,ChIJG9D25zFMwokR0ojzZs1Bms4,10314.0,,2187 Victory Blvd,4.7
4738,bookstore,Wagner College Bookstore,"Wagner College's quaint bookstore transcends its academic facade, boasting not only textbooks but also an array of branded merchandise—reasonably priced, especially with the day's discounts. A true haven for more than just bibliophiles.",40.6156626,-74.0928874,"Union Building, One Campus Rd, Staten Island, NY 10301",Book store,7863445197523653874,https://lh5.googleusercontent.com/p/AF1QipOgKHUn3jNqhDiaCAnulPR3Tpy4oDghejlkhyxJ=w408-h544-k-no,ChIJvexhn8BPwokR8hQmrb6RIG0,10301.0,https://lh3.googleusercontent.com/geougc-cs/AIHozJIlx4QWZUMZboMLrGDoXY8DsKjeO744Z1PF9nmlc6i5kLJI1B-rdY6LMwI93lUQtRiEpwsK7FfnC57fEcboZvmMtaMQutsNyCo1PdXKmAiK7YXO0p__bYbJRlOFM3aMwHqhTok,"Union Building, One Campus Rd",4.6
4739,bookstore,Hypno-Tronic Comics,"Dive into this small Staten Island comic shop where vintage laserdiscs mingle with sci-fi t-shirts, and an affable owner sweetens deals with stickers—a truly hypnotic cornucopia for geek hearts.",40.6424331,-74.0766869,"156 Stuyvesant Pl, Staten Island, NY 10301",Comic book store,11525185785431954134,https://lh5.googleusercontent.com/p/AF1QipOtKAtJCnCxQnJ1VCOj_RfJ8T1ZRxnrOUr4VmUM=w408-h306-k-no,ChIJVyNSKdNPwokR1pINp2iv8Z8,10301.0,,156 Stuyvesant Pl,4.7
4740,bookstore,Neptune LLC,uncharted,40.6503325,-74.1370868,"156 W 4th St, Bayonne, NJ 07002",Book store,5571262759341519621,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PNLME39hs1TgIfS_L9rG5w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=216.44772&pitch=0&thumbfov=100,ChIJnxBlFX9NwokRBfPpOPYZUU0,7002.0,,156 W 4th St,
4741,bookstore,Edition X,"In Soho, a phantom haunt whispers to magazine aficionados: Edition X, a storied mirage with its doors paradoxically shut during business hours, yet lauding a splendor of print. Its existence—a chic enigma.",40.7226318,-74.0005639,"69 Mercer St, New York, NY 10012",Magazine store,6730894784748716871,https://lh5.googleusercontent.com/p/AF1QipOjJCS8GNDR4nMHIs_Hnk0-mhg9pW9dwotVjAAz=w408-h306-k-no,ChIJNfWDzN9ZwokRRwN6GSXxaF0,10012.0,,69 Mercer St,4.4
4742,bookstore,McNally Jackson Books SoHo,"Nestled in Soho, a quaint bookstore enchants with a meticulously curated, diverse range of books and charming displays, promising endless hours of whimsical exploration for literary aficionados.",40.7254231,-74.0006905,"134 Prince St, New York, NY 10012",Book store,15572788948962005438,https://lh5.googleusercontent.com/p/AF1QipP5mresPAZWYss4DD4Ne_YUVL2Wo_CiNOkLAjKD=w408-h306-k-no,ChIJwaHnQI9ZwokRvlECeQqpHdg,10012.0,https://lh3.googleusercontent.com/geougc-cs/AIHozJJzBvsFE0AtdA-uOI8E7PfcqblONKXtTBoj85r2-VMCFfL-1e4bnULWGsPTarVBnDuSfOtv9xK44vlIWCQar4-JYBgfrl5Qsa88ZF8E_QxA1qpqDEtIAJ3ljxUWaCtAqwR45vO7Qw,134 Prince St,4.7
